Bairro;População
Zona rural;58772
Angelim;43092
Itararé;31857
Santa Maria;21923
Parque Brasil;16961
Vale Quem Tem;16292
Gurupi;16115
Novo Horizonte;15252
Santo Antônio;14021
Pedra Mole;13890
São Sebastião;12511
Promorar;13821
Bela Vista;12345
Lourival Parente;12013
Parque Ideal;10742
água Mineral;10586
Renascença;10416
Satélite;10090
Três Andares;8490
Esplanada;6593
Parque Piauí;8618
Centro;8223
Verde Lar;10930
Monte Castelo;9815
Samapi;11790
São Joaquim;8668
Santa Cruz;8899
Primavera;8230
São Pedro;7104
Cristo Rei;9502
São João;8099
Fátima;8236
Vale de Gavião;8184
Saci;6556
Iningá;7699
Aeroporto;6099
Piçarreira;6887
Buenos Aires;6284
Colorado;7088
Tabajaras;1498
Porto de Centro;9294
Nova Brasília;6328
Santa Isabel;8337
São Cristóvão;4982
Mafrense;5311
Morada Nova;4614
Jockey;6827
Macaúba;4578
Horto;7392
Real Copagre;5205
Extrema;5226
Ilhotas;5717
Memorare;4905
Vermelha;4499
Planalto;5315
Matadouro;4904
Morada de Sol;4402
São Francisco;4542
Alto Alegre;4583
Alvorada;4507
Distrito Industrial;4307
Uruguai;7581
Parque Poti;4656
Aroeiras;9603
Campestre;5107
N S das Graças;3036
Marquês de Paranaguá;3130
Noivos;3226
Poti Velho;3385
Piçarra;2497
Bom Jesus;3102
Tancredo Neves;2766
Morro de Esperança;2767
Cidade Nova;2898
Tabuleta;2601
Redenção;2667
Cabral;2423
Redonda;4161
Vila Operária;2639
Matinha;2427
Areias;2914
Acarapé;2499
Pirajá;2202
Beira Rio;2348
Mafuá;2247
Parque São João;2794
Brasilar;3039
Bom Princípio;4980
Frei Serafim;2214
Pio Xii;1766
Árvores Verdes;2248
Por Enquanto;2337
Itaperu;1565
Santa Lia;1853
Socopó;2427
Catarina;4252
Comprida;2022
Verdecap;2120
Olarias;2014
Todos Os Santos;1740
Recanto das Palmeiras;2337
Morros;2249
São Lourenço;4321
Novo Uruguai;3158
Flor de Campo;3065
Triunfo;1104
Parque Jacinta;1056
Parque Juliana;714
São Raimundo;703
Santa Luzia;560
Zoobotânico;624
Embrapa;698
Livramento;339
Redonda;72
Santa Rosa;9
